                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1473,                 0.9761,                 1.1171,                0.88918,                      1,                0.96485,                0.69668,                 1.0589,                 0.6211,                 1.0396,                0.00032,                0.00032,                0.00032
                      2,                  1.039,                0.58567,                 1.0017,                0.90661,                0.96875,                0.96563,                0.70615,                 1.0045,                0.43974,                 1.0031,             0.00065347,             0.00065347,             0.00065347
                      3,                0.92641,                0.48726,                0.97014,                0.99191,                      1,                  0.995,                0.75027,                0.96266,                0.37874,                0.97197,              0.0009802,              0.0009802,              0.0009802
                      4,                0.97632,                0.47944,                0.97721,                0.98161,                      1,                  0.995,                0.76868,                0.92251,                0.41825,                0.95445,              0.0013002,              0.0013002,              0.0013002
                      5,                 0.8989,                0.46198,                0.94873,                0.98088,                      1,                  0.995,                0.75287,                0.94761,                0.45906,                0.94927,              0.0016135,              0.0016135,              0.0016135
                      6,                0.91267,                0.46182,                0.96354,                0.99058,                      1,                  0.995,                0.76945,                 0.9469,                0.46214,                0.95615,               0.001901,               0.001901,               0.001901
                      7,                0.91035,                0.46803,                0.95946,                0.99732,                      1,                  0.995,                0.76428,                0.87447,                0.36672,                0.92671,              0.0018812,              0.0018812,              0.0018812
                      8,                0.85725,                0.43284,                0.94378,                0.99765,                      1,                  0.995,                0.72337,                 1.0628,                0.41121,                0.98013,              0.0018614,              0.0018614,              0.0018614
                      9,                0.90309,                0.45583,                0.95898,                0.99781,                      1,                  0.995,                 0.7421,                0.98867,                0.37108,                0.95571,              0.0018416,              0.0018416,              0.0018416
                     10,                0.85723,                0.41404,                0.94777,                0.99704,                      1,                  0.995,                0.75112,                 1.0048,                0.40461,                0.96732,              0.0018218,              0.0018218,              0.0018218
                     11,                0.87836,                0.45439,                0.94856,                0.99505,                      1,                  0.995,                0.74729,                0.95651,                0.39116,                0.95318,               0.001802,               0.001802,               0.001802
                     12,                0.85503,                0.43076,                0.94954,                0.99767,                      1,                  0.995,                0.77002,                0.87693,                0.35558,                0.92329,              0.0017822,              0.0017822,              0.0017822
                     13,                0.77869,                0.67822,                0.88596,                0.99596,                      1,                  0.995,                0.76837,                0.92503,                 0.3737,                0.93914,              0.0017624,              0.0017624,              0.0017624
                     14,                0.77501,                0.39903,                0.88338,                0.99804,                      1,                  0.995,                0.76207,                 0.9208,                0.37698,                0.94077,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83661,                0.40155,                0.93749,                0.99801,                      1,                  0.995,                0.76695,                0.90565,                0.37987,                0.93761,              0.0017228,              0.0017228,              0.0017228
                     16,                0.83389,                0.40128,                0.93259,                0.99409,                      1,                  0.995,                0.75442,                0.88323,                 0.3771,                0.96698,               0.001703,               0.001703,               0.001703
                     17,                 0.7831,                0.40446,                0.90845,                0.98895,                      1,                  0.995,                0.77051,                0.91512,                 0.3571,                0.95052,              0.0016832,              0.0016832,              0.0016832
                     18,                0.88633,                 0.4127,                0.94574,                0.99557,                      1,                  0.995,                0.76127,                0.89993,                0.33818,                0.93859,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77803,                0.38134,                0.92171,                0.99581,                      1,                  0.995,                0.77315,                0.94419,                0.35149,                0.94951,              0.0016436,              0.0016436,              0.0016436
                     20,                0.82231,                0.42618,                0.91895,                0.99242,                      1,                  0.995,                0.74958,                 0.9487,                0.36023,                0.95998,              0.0016238,              0.0016238,              0.0016238
                     21,                0.84065,                0.38482,                0.93246,                0.99401,                      1,                  0.995,                0.76483,                0.93194,                0.34306,                0.95295,               0.001604,               0.001604,               0.001604
                     22,                0.81126,                0.39891,                0.91841,                0.99418,                      1,                  0.995,                0.75248,                0.94172,                0.35023,                0.96206,              0.0015842,              0.0015842,              0.0015842
                     23,                0.80757,                0.39334,                 0.9234,                0.99773,                      1,                  0.995,                0.75485,                0.97607,                0.35252,                0.96211,              0.0015644,              0.0015644,              0.0015644
                     24,                0.77972,                0.38845,                0.91457,                0.99792,                      1,                  0.995,                0.77335,                0.89441,                0.32831,                 0.9355,              0.0015446,              0.0015446,              0.0015446
                     25,                0.78606,                0.39227,                0.91656,                0.99778,                      1,                  0.995,                0.79903,                0.91299,                0.33911,                0.93998,              0.0015248,              0.0015248,              0.0015248
                     26,                0.80502,                0.39245,                0.91686,                0.99784,                      1,                  0.995,                0.79417,                0.90739,                0.33702,                0.93862,               0.001505,               0.001505,               0.001505
                     27,                0.78188,                0.39384,                 0.9269,                0.99498,                      1,                  0.995,                0.76944,                0.97354,                0.37642,                0.94012,              0.0014852,              0.0014852,              0.0014852
                     28,                0.80071,                0.39172,                0.91373,                0.99517,                      1,                  0.995,                0.75802,                0.92775,                0.34514,                0.94536,              0.0014654,              0.0014654,              0.0014654
